STATE/UT,CRIME HEAD,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
ANDHRA PRADESH,RAPE,1150,1340,1237,1443,1415,1360,1436,1531,1487,1761,1758,1664,1635,1940
ARUNACHAL PRADESH,RAPE,51,61,35,56,38,40,57,37,60,49,47,47,75,83
ASSAM,RAPE,928,1019,1188,1233,1406,1290,1477,1445,1644,1629,1470,1626,1937,1980
BIHAR,RAPE,1400,1304,1120,1157,1455,1451,1816,1464,1086,892,1185,1327,1128,1127
CHHATTISGARH,RAPE,1134,1214,1020,1144,1107,1211,1146,1108,1128,1198,1257,1214,1380,1436
GOA,RAPE,14,12,36,48,34,20,25,41,56,50,34,61,86,95
GUJARAT,RAPE,401,378,356,481,501,539,503,529,610,617,621,647,732,841
HARYANA,RAPE,539,511,523,573,627,772,607,849,848,866,801,940,971,1174
HIMACHAL PRADESH,RAPE,152,204,146,187,176,131,197,182,250,197,187,259,250,283
JAMMU & KASHMIR,RAPE,222,203,266,271,248,301,331,234,303,266,349,388,378,331
JHARKHAND,RAPE,637,873,759,759,732,943,886,802,765,836,758,780,1204,1050
KARNATAKA,RAPE,361,357,410,397,381,475,518,642,595,771,837,842,1030,1324
KERALA,RAPE,712,600,517,562,506,666,555,623,694,659,1226,1259,1221,1347
MADHYA PRADESH,RAPE,3212,3926,3694,4181,3900,3878,4131,3875,4243,4387,4593,4822,4335,5076
MAHARASHTRA,RAPE,1886,1871,1856,1914,2227,2162,2097,2206,2075,2180,2533,2591,3063,3438
MANIPUR,RAPE,17,18,19,29,12,20,12,19,22,22,24,46,72,75
MEGHALAYA,RAPE,29,45,50,57,65,71,76,82,110,135,128,182,183,118
MIZORAM,RAPE,64,83,70,15,36,77,87,94,81,112,74,122,89,120
NAGALAND,RAPE,28,20,14,20,19,29,15,27,27,17,27,26,31,30
ODISHA,RAPE,887,820,839,906,838,1020,1026,1045,1119,1363,1224,1666,1832,1978
PUNJAB,RAPE,459,538,574,563,553,618,709,663,681,766,598,895,888,981
RAJASTHAN,RAPE,1147,937,928,995,1110,1085,1201,1211,1388,1343,1642,1807,3285,3759
SIKKIM,RAPE,6,2,7,3,8,17,30,24,19,21,25,29,43,47
TAMIL NADU,RAPE,565,695,661,681,744,573,615,740,776,777,837,962,923,455
TRIPURA,RAPE,139,141,135,190,157,167,165,210,336,320,258,202,233,239
UTTAR PRADESH,RAPE,2685,2050,1211,1942,1683,1770,2283,2825,2918,2580,3571,3593,3050,3467
UTTARAKHAND,RAPE,82,142,154,226,225,233,171,108,138,171,149,184,228,270
WEST BENGAL,RAPE,1027,1279,1497,1661,2085,2045,2409,1790,1748,2395,1870,1963,1685,1466
TOTAL (STATES),RAPE,19934,20643,19322,21694,22288,22964,24581,24406,25207,26380,28083,30144,31967,34530
A & N ISLANDS,RAPE,3,6,6,11,8,7,3,13,36,39,28,17,27,32
CHANDIGARH,RAPE,32,28,32,27,43,27,24,27,38,44,27,34,45,59
D & N HAVELI,RAPE,10,3,1,12,6,5,5,8,5,3,4,5,5,5
DAMAN & DIU,RAPE,0,0,6,2,1,2,4,0,1,1,0,10,8,2
DELHI,RAPE,454,546,624,737,856,778,731,573,557,602,707,892,1636,2096
LAKSHADWEEP,RAPE,0,2,2,0,0,0,1,1,0,0,0,0,2,1
PUDUCHERRY,RAPE,13,8,1,6,10,9,14,8,1,5,29,15,17,10
TOTAL (UTs),RAPE,512,593,672,795,924,828,782,630,638,694,795,973,1740,2205
TOTAL (ALL-INDIA),RAPE,20446,21236,19994,22489,23212,23792,25363,25036,25845,27074,28878,31117,33707,36735
ANDHRA PRADESH,KIDNAPPING AND ABDUCTION,965,962,878,1105,1230,1326,1674,1606,1889,1722,1698,1764,1595,1432
ARUNACHAL PRADESH,KIDNAPPING AND ABDUCTION,60,57,50,34,28,51,51,57,38,48,67,49,86,91
ASSAM,KIDNAPPING AND ABDUCTION,1583,1967,1894,2083,2250,1848,1721,1965,2392,2687,2838,2689,4222,3895
BIHAR,KIDNAPPING AND ABDUCTION,988,1154,877,1606,1518,1961,2085,2382,2397,2503,3565,4639,4419,4735
CHHATTISGARH,KIDNAPPING AND ABDUCTION,223,178,135,225,223,177,196,229,267,352,372,441,1881,1393
GOA,KIDNAPPING AND ABDUCTION,8,9,12,14,18,12,8,28,18,15,16,12,70,86
GUJARAT,KIDNAPPING AND ABDUCTION,1063,1007,945,1171,1147,1142,1356,1320,1494,1651,1888,1939,2230,2187
HARYANA,KIDNAPPING AND ABDUCTION,298,328,354,315,274,395,490,594,530,543,548,660,1957,1922
HIMACHAL PRADESH,KIDNAPPING AND ABDUCTION,74,96,76,73,115,77,106,144,102,101,134,131,290,227
JAMMU & KASHMIR,KIDNAPPING AND ABDUCTION,633,563,696,672,741,862,959,523,696,509,894,884,949,813
JHARKHAND,KIDNAPPING AND ABDUCTION,318,152,336,336,207,378,549,604,397,710,901,1000,926,885
KARNATAKA,KIDNAPPING AND ABDUCTION,306,336,242,278,270,357,373,487,506,751,703,1035,1359,1457
KERALA,KIDNAPPING AND ABDUCTION,114,92,104,135,179,219,194,179,202,221,230,253,185,143
MADHYA PRADESH,KIDNAPPING AND ABDUCTION,917,1126,918,986,1047,869,906,1013,1060,1303,1473,1648,2873,5688
MAHARASHTRA,KIDNAPPING AND ABDUCTION,1022,977,938,1125,1338,1324,1286,1487,1388,1470,1954,1775,1874,2457
MANIPUR,KIDNAPPING AND ABDUCTION,58,62,67,77,68,49,59,68,95,83,94,101,125,121
MEGHALAYA,KIDNAPPING AND ABDUCTION,9,21,4,16,16,27,12,14,17,41,18,6,33,38
MIZORAM,KIDNAPPING AND ABDUCTION,5,3,3,0,0,1,0,1,0,0,0,3,2,3
NAGALAND,KIDNAPPING AND ABDUCTION,9,4,6,2,6,5,12,5,8,13,3,7,11,13
ODISHA,KIDNAPPING AND ABDUCTION,555,534,531,477,530,558,681,633,814,1070,1107,1347,2067,2436
PUNJAB,KIDNAPPING AND ABDUCTION,369,348,253,266,361,471,592,573,566,646,589,731,987,1176
RAJASTHAN,KIDNAPPING AND ABDUCTION,1261,1103,921,1245,926,1011,942,942,1138,1281,1461,1565,4047,4421
SIKKIM,KIDNAPPING AND ABDUCTION,0,2,0,4,3,0,3,8,7,13,6,8,16,12
TAMIL NADU,KIDNAPPING AND ABDUCTION,808,847,856,985,911,1052,1107,1405,1312,1532,1778,1557,1516,1502
TRIPURA,KIDNAPPING AND ABDUCTION,43,60,68,83,69,61,81,112,125,106,113,120,124,102
UTTAR PRADESH,KIDNAPPING AND ABDUCTION,4295,3829,2374,3709,3593,4270,5683,8280,10487,11903,19299,20565,9737,10626
UTTARAKHAND,KIDNAPPING AND ABDUCTION,153,244,217,202,223,314,363,203,191,293,295,242,633,275
WEST BENGAL,KIDNAPPING AND ABDUCTION,1331,1781,1571,1620,1565,1660,1742,1857,1958,2254,2748,3352,3830,4976
TOTAL (STATES),KIDNAPPING AND ABDUCTION,17468,17842,15326,18844,18856,20477,23231,26719,30094,33821,44792,48523,48044,53112
A & N ISLANDS,KIDNAPPING AND ABDUCTION,4,1,1,2,0,10,6,10,5,11,14,7,12,17
CHANDIGARH,KIDNAPPING AND ABDUCTION,43,37,22,61,39,50,45,42,29,23,33,48,174,133
D & N HAVELI,KIDNAPPING AND ABDUCTION,3,6,6,6,6,7,7,16,12,7,3,11,11,7
DAMAN & DIU,KIDNAPPING AND ABDUCTION,2,0,1,0,4,1,3,0,0,0,8,0,6,1
DELHI,KIDNAPPING AND ABDUCTION,298,325,274,331,419,402,352,412,375,366,503,478,3609,4034
LAKSHADWEEP,KIDNAPPING AND ABDUCTION,0,0,0,0,0,0,0,1,0,0,0,0,0,0
PUDUCHERRY,KIDNAPPING AND ABDUCTION,1,10,13,6,2,20,14,8,11,22,10,16,25,7
TOTAL (UTs),KIDNAPPING AND ABDUCTION,351,379,317,406,470,490,427,489,432,429,571,560,3837,4199
TOTAL (ALL-INDIA),KIDNAPPING AND ABDUCTION,17819,18221,15643,19250,19326,20967,23658,27208,30526,34250,45363,49083,51881,57311
ANDHRA PRADESH,DOWRY DEATHS,1054,1058,1361,1102,1280,1274,1562,1585,1220,1322,1400,1267,492,504
ARUNACHAL PRADESH,DOWRY DEATHS,0,0,0,0,0,0,0,0,0,0,0,2,0,1
ASSAM,DOWRY DEATHS,95,127,113,161,174,201,172,159,297,263,146,215,170,188
BIHAR,DOWRY DEATHS,2899,2538,2488,2317,2323,2674,3265,2605,2908,2508,3900,3994,1182,1373
CHHATTISGARH,DOWRY DEATHS,163,217,224,220,296,273,247,254,353,277,287,211,109,128
GOA,DOWRY DEATHS,4,2,2,8,2,0,8,2,3,5,2,0,0,0
GUJARAT,DOWRY DEATHS,238,174,147,122,136,150,121,79,53,28,62,38,29,23
HARYANA,DOWRY DEATHS,734,635,528,563,481,533,572,622,633,589,457,481,263,293
HIMACHAL PRADESH,DOWRY DEATHS,15,13,15,25,6,12,31,8,3,4,8,4,0,1
JAMMU & KASHMIR,DOWRY DEATHS,40,27,20,24,26,12,21,25,46,26,12,23,7,5
JHARKHAND,DOWRY DEATHS,557,632,578,578,503,557,559,570,562,567,536,444,307,350
KARNATAKA,DOWRY DEATHS,422,571,487,553,578,587,582,698,666,621,642,539,277,313
KERALA,DOWRY DEATHS,55,44,59,53,31,39,40,35,32,34,25,38,21,28
MADHYA PRADESH,DOWRY DEATHS,1503,1822,1812,2257,1992,2203,2127,2302,2474,2564,2144,2142,776,733
MAHARASHTRA,DOWRY DEATHS,1009,1222,1459,1235,1379,1348,1349,1464,1233,1438,1261,1141,320,279
MANIPUR,DOWRY DEATHS,0,0,0,0,0,0,0,1,0,0,5,0,0,1
MEGHALAYA,DOWRY DEATHS,0,0,0,3,1,0,4,2,0,0,3,4,2,1
MIZORAM,DOWRY DEATHS,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NAGALAND,DOWRY DEATHS,0,0,0,0,0,0,0,0,0,0,0,0,1,0
ODISHA,DOWRY DEATHS,603,602,686,932,708,969,958,733,857,988,858,903,395,441
PUNJAB,DOWRY DEATHS,450,495,288,345,246,331,316,286,323,288,364,274,126,90
RAJASTHAN,DOWRY DEATHS,722,582,582,680,560,665,683,643,553,616,673,631,453,408
SIKKIM,DOWRY DEATHS,0,0,0,0,0,0,0,0,0,2,0,9,0,0
TAMIL NADU,DOWRY DEATHS,2266,572,484,514,492,457,503,488,430,313,336,278,118,95
TRIPURA,DOWRY DEATHS,94,13,41,28,43,25,42,31,60,62,57,87,29,33
UTTAR PRADESH,DOWRY DEATHS,6305,5673,3792,4836,4523,5280,7310,8541,9203,9250,9795,9884,2335,2469
UTTARAKHAND,DOWRY DEATHS,161,187,234,267,160,227,244,168,218,168,233,147,43,38
WEST BENGAL,DOWRY DEATHS,725,784,914,976,956,1058,1068,1082,1002,1124,1118,1345,481,501
TOTAL (STATES),DOWRY DEATHS,20114,17990,16314,17799,16896,18875,21784,22383,23129,23057,24324,24101,7936,8296
A & N ISLANDS,DOWRY DEATHS,0,0,0,0,0,0,2,3,0,0,0,3,1,3
CHANDIGARH,DOWRY DEATHS,7,0,4,13,6,30,3,7,3,10,3,14,1,2
D & N HAVELI,DOWRY DEATHS,0,0,0,0,0,1,0,0,0,0,0,0,0,0
DAMAN & DIU,DOWRY DEATHS,0,0,0,0,0,1,3,0,0,0,0,0,0,0
DELHI,DOWRY DEATHS,256,345,318,298,267,320,313,230,242,209,246,300,144,153
LAKSHADWEEP,DOWRY DEATHS,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PUDUCHERRY,DOWRY DEATHS,4,11,0,9,4,7,8,1,0,4,5,0,1,1
TOTAL (UTs),DOWRY DEATHS,267,356,322,320,277,359,329,241,245,223,254,317,147,159
TOTAL (ALL-INDIA),DOWRY DEATHS,20381,18346,16636,18119,17173,19234,22113,22624,23374,23280,24578,24418,8083,8455
ANDHRA PRADESH,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,3639,4055,4577,4259,4003,4431,4893,4922,5441,4622,4554,4834,6930,7735
ARUNACHAL PRADESH,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,95,80,66,68,51,40,72,73,70,88,69,77,93,121
ASSAM,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,1161,1372,1660,1322,1288,1716,1466,1307,1614,2020,1794,2250,2409,3099
BIHAR,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,982,997,965,1058,715,720,1360,1165,795,808,1036,278,331,572
CHHATTISGARH,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,2106,1728,1755,1972,1734,1880,1831,1934,1817,1969,1948,1891,2261,2122
GOA,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,15,24,15,24,42,25,24,28,35,37,28,42,162,202
GUJARAT,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,1033,1015,970,1132,1064,957,1227,1291,1025,986,1051,1118,1243,1352
HARYANA,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,567,603,475,491,506,653,572,533,553,605,534,698,1560,1688
HIMACHAL PRADESH,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,431,419,335,347,357,391,404,358,345,418,373,317,493,538
JAMMU & KASHMIR,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,1034,1377,1966,1857,1563,2015,2306,1748,2044,2053,2759,2814,1389,1421
JHARKHAND,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,384,433,425,425,299,445,402,302,327,273,340,355,524,440
KARNATAKA,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,2401,2366,2266,1925,2066,2445,2456,2927,3159,3411,3381,3982,3913,5263
KERALA,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,2317,2568,2328,2825,2842,2951,2959,3452,3238,3585,4257,4167,4362,4367
MADHYA PRADESH,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,8196,8760,8326,8022,7762,7235,8053,7686,7567,7863,7904,8085,8252,9609
MAHARASHTRA,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,3385,3260,3147,3355,3865,4246,3864,4334,3938,4386,4704,4885,8132,10001
MANIPUR,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,12,41,54,26,27,29,47,47,40,23,24,34,59,98
MEGHALAYA,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,13,14,25,17,21,50,24,18,42,29,58,45,98,105
MIZORAM,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,58,55,96,60,43,60,64,76,78,79,63,82,81,97
NAGALAND,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,0,1,3,2,7,4,10,22,13,15,12,16,18,16
ODISHA,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,2278,2316,2440,2468,3318,3565,3713,3765,3589,4116,4541,6060,4618,5543
PUNJAB,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,462,425,439,337,361,422,472,512,355,454,402,413,1045,1113
RAJASTHAN,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,3282,2967,2816,3150,2885,2975,2753,2893,2692,2598,2740,2658,4829,5999
SIKKIM,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,0,17,21,58,28,16,11,18,36,23,17,17,29,34
TAMIL NADU,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,2283,2847,2615,2767,2515,1667,1945,2220,1916,1946,2092,2091,1271,1102
TRIPURA,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,62,95,157,189,156,162,197,349,434,456,455,375,407,492
UTTAR PRADESH,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,3960,2944,1518,2592,2600,2785,3485,4109,4026,4189,5252,5143,7303,8605
UTTARAKHAND,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,150,234,196,222,149,204,306,160,178,184,153,199,295,343
WEST BENGAL,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,1163,1377,2021,1714,2027,2004,1712,1584,1640,1841,2243,2879,4913,5670
TOTAL (STATES),ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,41469,42390,41677,42684,42294,44093,46628,47833,47007,49077,52784,55805,67020,77747
A & N ISLANDS,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,19,17,12,13,14,19,32,32,40,40,15,20,45,41
CHANDIGARH,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,33,39,19,24,36,28,39,22,39,28,24,54,143,87
D & N HAVELI,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,7,2,7,8,10,5,0,7,2,12,2,2,1,2
DAMAN & DIU,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,0,0,3,0,1,5,0,1,5,2,0,0,2,3
DELHI,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,650,634,647,756,968,887,1143,855,710,794,865,939,3515,4322
LAKSHADWEEP,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,0,1,1,0,0,0,1,0,0,0,0,0,1,1
PUDUCHERRY,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,66,78,78,94,101,79,160,85,53,71,77,7,12,32
TOTAL (UTs),ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,775,771,767,895,1130,1023,1375,1002,849,947,983,1022,3719,4488
